,sub-region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Australia and New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16108.88807934835,16181.0930901229,16578.1829851558,17571.542818942402,18633.83038594045,19457.639553483947,20283.702709797253,21124.248491183,21848.25417890465,23023.79211094405,24011.5384161954,25076.24237340175,26161.4789411524,27048.18498867835,28424.924780396,29347.7911514741,31277.86535855925,32980.73397795865,33672.4981995391,35492.838992271696,35294.18352459515,37359.7482703738,37917.9532531462,41075.1879541007,42087.77117836775,41865.5458324422,43591.504629439296,45309.3917511811,46356.8558723927,48917.57712453015,49221.21280496055,51616.645013190704
1,Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4282.966354907242,4036.9722719930564,3572.2572707028,3365.043427954508,2930.498091596468,2779.458862977678,2865.182956856055,2903.8706125671492,2991.837399317421,3213.3100919167614,3500.7561564176335,3868.024662043924,4128.416378041678,4474.906258205342,4920.0433830763495,5463.550490583006,6090.171683490142,6752.666784165689,7253.171264066031,7424.2849608645165,7911.610369411003,8658.34530358246,9214.04661013832,10028.973106714375,10359.838907558948,10091.34431879917,10352.997408571613,10738.063917514808,11362.446932914449,11990.814290921186,10833.462415758115,11690.050345492986
2,Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12877.533437754486,13668.265742301455,14709.608458287754,15447.457446652128,16322.025676251937,17073.94676250609,17544.9021556763,18107.47513093711,17465.172964211815,17844.39137473672,19198.6655785019,19878.11642338051,20970.485017739888,22286.71482837234,25425.245541996235,27423.507800966207,30140.855480052924,33216.58987006258,34240.83168721463,33726.85702956612,38221.763142452684,42811.30431362779,45769.588156586135,49886.33028690928,50444.2314294081,45448.43988430206,45677.44166331325,48482.73106360046,51169.36672695896,50911.72536009251,38821.82475735379,43060.12122184163
3,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7515.7016131719165,7285.550521442243,7031.718550192293,7017.187741814879,7061.614006286223,6939.013083727295,7076.414839739303,7226.79542204969,7455.249720465526,7651.755584545111,8238.5455508585,8956.891944271263,9643.340879164205,10392.344573966264,11385.988250711092,12324.220355152682,13864.02059045074,15357.898937392514,17158.02703916835,16905.566401957883,17894.09424896811,19091.462879538463,19861.95555706633,20849.250496125027,21503.493685678393,21910.529467446904,22950.474756567968,24455.32901780663,26241.917401587172,28236.289629267692,27934.39095500444,30255.31809783182
4,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6447.502702452955,6755.003704861759,7051.085230615344,7346.596385797871,7684.888610300069,7933.07299723515,8230.153884634205,8698.102749486381,8916.256648858684,9135.748303307113,9940.272428332113,10223.796617302807,10371.175936314878,10742.084614407138,11480.414303902931,12170.929734832844,14827.112006376934,15679.925993383105,16168.324460997288,15981.097379873929,16281.60243551402,17137.986476085905,17041.660193675623,17492.286777007466,18142.1432266668,18357.11937221984,18891.05242959835,19627.345289353834,20305.315348446908,20405.597626441464,18307.240694361644,20152.638534373247
5,Melanesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.7992280782973,2220.6790579898525,2410.54447251195,2559.2565489550902,2731.8085275847775,2796.1760358131573,2918.8372170134053,2873.53332961947,2850.925452008075,2957.033276744475,2891.33935335338,2878.7576986278277,2878.92476531353,2952.25341329969,3123.5714884790423,3269.2664164345197,3440.52619749329,3539.828387695575,3629.539913059275,3647.8360148933425,3813.481342802555,3955.9811964863225,4131.517616188255,4338.453136644628,4883.7895048557,5175.282967842675,5319.855256744925,5611.310171376255,5850.109411282822,5960.48095164283,5277.64276852426,5281.68813740018
6,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.9612625921666,1719.0686083771368,1799.5581738933968,1902.4238077232433,1953.5566449772534,2081.35481670327,1984.5506335415103,1905.7230366022002,1949.0553177354166,1951.3935569165667,3950.7164575211677,4221.740592578422,4411.322233650868,4403.626738267755,4544.784156430391,4800.491798936266,5048.425826866014,5068.858260190466,5143.4547996349775,5155.198459950298,5420.7937514161,5896.114025294328,6232.040741339168,6689.2303500971375,7446.420272074809,7896.378482175418,8030.468988540919,7892.172104495208,8252.505011743551,8501.150090385348,8231.80398423607,8117.94225028627
7,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3687.126814341956,3810.66913000231,3946.0070015362044,3981.277649901138,4094.3558543204804,4201.815655762179,4466.063365749582,4650.115538185213,4872.5578763962085,7617.981158880575,7974.388958033596,8127.074424935607,8232.55547518081,8943.533967359259,9425.198697051892,10263.299953112895,10959.682668250034,11675.0485527738,11959.915699269077,11762.246372764746,12189.467861010538,10017.402566903875,12378.801079376373,11527.336182064204,11089.939855663752,11297.640452033449,11215.399121091052,11644.804562872649,12237.496307984,11946.946173427617,10651.998682899814,12194.480672523292
8,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29379.6738812842,29648.9085909574,30704.78444386195,32068.25105355445,33106.635429203845,34727.13115493615,36142.81844546985,33823.98608982333,35283.98430505524,37007.09450923853,39871.271303557,41949.52616030547,42366.40415748283,44249.4194408863,46409.51021374633,48896.70083787973,52026.045884369465,54417.59368495913,54713.2330825747,52360.888219715875,53125.97118729454,53910.505850480324,53843.06816925324,55527.6446370314,56551.01569479194,57768.67934933363,60233.712198984904,63355.6360846817,65388.8795281674,66669.13423794837,63480.299259297164,70061.75047284493
9,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17685.547561813466,18128.046986558184,18585.728710958352,19091.342286537416,20309.379470278167,17121.22748471042,18090.73810386587,19423.254052262877,20424.87742781021,21414.86923497646,23440.547158957273,24601.678226532717,25726.874545030332,26589.26046504752,28680.408300630603,30383.96179834303,33412.269455560614,35718.3433325417,37309.4223425333,34811.84590957127,36106.44848204506,38209.25894474098,39533.44044529044,41077.78550562404,42235.77836059188,44514.09500775634,46485.456645614366,49494.29729414746,52323.654066173665,54875.22745335973,53900.09489504572,59377.708116141126
10,Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.4944464007833,2067.0920288674765,2116.92931751467,2240.609506625067,2362.922279487673,2484.7980702480436,2555.03082564562,2667.030146239337,2837.7411796679266,2908.490082067983,3008.7629837148597,3182.3665523752265,3425.32228632937,3524.1104863978067,3579.1815327982135,3715.52753800957,3857.7793344482166,4014.8921029977932,4258.498099771657,4099.80784528038,4208.37661758911,4502.0739439259805,4478.362477057643,4594.0785791764565,4720.243176021887,4972.018631128293,5358.21174806237,5568.233636056124,5698.14791067826,6081.962413873916,6068.046092450983,6079.26269400213
11,South-eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10971.399616209368,11553.344235552699,12154.864288516192,11537.217526402403,12157.21661060202,12841.997524698421,13394.62570959253,13631.43500041379,13139.754729093427,13660.752155695498,13268.70021434463,13514.739361990703,14074.35067201201,14825.13731007576,15715.133228038681,16538.91246882143,17739.596386561672,18635.171195270465,18698.632110813473,18422.229060851227,19808.858160899996,20877.726521498567,21968.23983603176,21934.59757446729,22165.096379753246,20885.943406469214,20920.8274703229,22277.845587853706,23389.584187758606,24359.07836207333,24007.626423992344,26108.318511932786
12,Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354.983476733966,2546.5566305311527,2675.0012992970915,2759.0719306812766,2846.4556428995284,3368.982722217005,3578.633808939274,3734.3495052619073,3879.647152541721,4045.3904000644925,4265.742628850781,4338.483240406225,4208.801729052496,4596.335569186038,4893.669861195658,5009.204658897698,5593.62191797305,6115.7924208151035,6387.1501078513265,6394.322857689778,6809.169781476589,7214.7047063721675,7338.895983732048,7562.559912730168,7914.020851913836,8021.641440061639,8471.039696811744,8903.791881342813,9312.777091032372,9649.708124804967,8664.830347193278,9905.407948715254
13,Southern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10601.764191446568,11058.423611694247,11349.65009417746,11500.524457405483,10606.989119225662,10550.127126515295,11144.186008504248,14593.572732598908,15456.839322747503,16275.68524144279,16543.565859008555,17426.415443176535,18177.36220703593,18847.143399140426,19839.24968572675,20710.150604703704,22598.333483543058,24275.926308719387,25474.000706156596,24460.393415560884,24394.98081519534,24325.93385351805,24108.8074977357,24842.470803211538,25632.68163310845,26481.430835749718,28162.966165062237,29719.638955797574,31240.50177312524,33363.72994284375,31233.009865157863,31544.49664038215
14,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135.591258726598,2212.5762046494315,2207.319492806471,2237.541358988819,2272.9149210697024,2370.22314656478,2493.4086023457103,2676.3345302628554,2761.3139857642986,2812.0003219303835,2866.9906374909533,3010.8245578314836,3117.9279362229613,3221.803964224515,3482.925511062237,3742.879289569152,3989.324287349873,4285.710376435068,4440.741043231622,4404.585063500507,4496.413664225051,4726.401558642179,4881.752646725698,4877.255244229658,5050.256872675586,4863.261243219083,5024.612503492837,5172.468496954931,5326.237155590519,5454.84829612107,5164.071048668349,5531.670683665894
15,Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17768.843490641408,17244.250125290077,18912.20789591353,20065.39275521501,19542.1128860277,20318.70875470732,20808.68231877986,21440.502742485714,21498.805627705955,21435.450014656337,26710.856248848053,26968.622042604526,27206.55544205617,28347.6087781037,31148.963420274962,32465.801119833806,34097.434019488916,34528.40813422683,34886.83300219785,33497.56121867284,34531.36449595875,36479.666728915945,38020.64879573594,37557.677640056914,38230.243070833705,32123.97261123534,31230.19981231655,33216.648879436514,34067.72243514689,34729.569537285395,33351.8904386822,35096.966391669164
16,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21849.7447557776,23101.821700015025,23757.17442380174,24303.156522312758,25312.96198413986,26164.65171718333,26931.581560546587,28178.115424520427,29376.041498132658,31082.032703356625,33464.634283811225,34513.35145424712,35856.528712744046,36336.04993676443,38152.31293467607,39806.078287261786,43703.17377568129,46703.74603420094,49083.1956567437,47849.95185868999,49564.25287262477,52062.48899640916,53375.36825644771,55500.05364924004,57073.92705918588,58385.009787641,61220.63725738974,63063.11768238256,65388.65506312239,68215.7854108327,66584.03764321825,71786.02994522954
